TA Name,name_id,name,linked_in_name,linkedin_id,current_byu,alltime_byu,current_byu_marriott,alltime_byu_marriott,total_byu_current,total_byu_alltime,linkedin url,firm_url,number_emp_linkedin,linkedin_overview
Grace Dyer,alvarez-marsal,Alvarez & Marsal,,162399,24,65,4,8,28,73,https://www.linkedin.com/company/alvarez-&-marsal/,http://www.alvarezandmarsal.com,13191,"Alvarez & Marsal is a leading global professional services firm dedicated to helping organizations tackle their most complex business issues, maximize stakeholder value, and deliver sustainable change. Privately held since its founding in 1983, clients select us for our deep expertise and proven ability to create and deliver practical solutions to their unique problems. Leveraging A&M’s restructuring heritage, our fact-driven, action-oriented approach empowers organizations to drive transformation and unlock value at every stage of growth. Our worldwide network extends across six continents, with over 10,000 people comprised of experienced operators, world-class consultants, former regulators and industry authorities. We foster a uniquely collaborative environment that embraces our peoples’ diverse perspectives and A&M’s entrepreneurial spirit to deliver end-to-end capabilities that span advisory, business performance improvement, and turnaround management."
Grace Dyer,kpmg-us,KPMG Advisory,,1079,19,87,3,13,22,100,https://www.linkedin.com/company/kpmg-us/,http://www.kpmg.com/US,53729,"KPMG is one of the world’s leading professional services firms and the fastest growing Big Four accounting firm in the United States. With 90+ offices and more than 36,000 employees and partners throughout the US, we’re leading the industry in new and exciting ways. Our size and strength make us much more agile and responsive to changing trends."
Grace dyer,credera,Credera,,21837,13,26,8,14,21,40,https://www.linkedin.com/company/credera/,https://www.credera.com/en-us,1859,"Credera empowers the world’s leading brands to navigate the complexities of data, technology, and marketing. As the global consultancy embedded within Omnicom’s creative and media scale, we bridge marketing ambition and technical execution to accelerate growth and build transformations that last. Visit us at www.credera.com."
Grace Dyer,huron,Huron Consulting,,5751,17,75,3,5,20,80,https://www.linkedin.com/company/huronconsulting/,http://www.huronconsultinggroup.com,6265,"Huron is a global professional services firm that collaborates with clients to put possible into practice by creating sound strategies, optimizing operations, accelerating digital transformation, and empowering businesses and their people to own their future. By embracing diverse perspectives, encouraging new ideas, and challenging the status quo, we create sustainable results for the organizations we serve. Learn more at huronconsultinggroup.com."
David Fillmore,slalom,Slalom,,166000,18,52,0,4,18,56,https://www.linkedin.com/company/slalom-consulting/people/,https://www.slalom.com/us/en,10400,"Slalom is a fiercely human business and technology consulting company that leads with outcomes to bring more value, in all ways, always. We team with leaders who expect more. So we bring more. From strategy through delivery, our agile teams across 53 offices in 12 countries collaborate with you to bring powerful customer experiences, innovative ways of working, and new products, services, and businesses to life. Every day, we work at the forefront of industry, combining our deep roots in technology and data, to help you tackle challenges, improve operations, and drive sustainable growth. It’s why we are trusted by leaders across the majority of the Global 1000, many of the world’s most successful enterprise, mid-market, and emerging companies, and more than 500 high-impact public sector agencies, foundations, and universities. We lead with a balance of heart and practicality, curiosity and agility, local soul and global expertise. That means understanding your culture, goals, organization, and customers. That means being tireless problem solvers. And that means always standing by you as your trusted advisor, respectful challenger, and unwavering champion. Even our partnerships are built different. For more than 20 years, we've sought out and made strategic investments in the world’s emerging and leading technology platforms. Our 360-degree relationships with these innovators, built on mutual trust and respect, has cemented our position as a premier (and often first) partner of choice. We work together as one to offer tailored solutions that unlock the full potential of these technologies. At Slalom, we bring more day-one advantages, more connections and breakthroughs, more doing the right thing, more care for you and your team, and more return on your investment. So that together, we can dream bigger, move faster, and build better tomorrows for all."
grace Dyer,cornerstone-research,Cornerstone Research,,5345,17,92,1,3,18,95,https://www.linkedin.com/company/cornerstone-research/,http://www.cornerstone.com,1329,"At Cornerstone Research, we attribute our success to a unique combination of resources: a creative and energetic staff, cutting-edge technology and research, and our work with academic and industry experts. Our consultants use innovative problem-solving approaches and achieve unparalleled analytic depth. Working with faculty experts from leading business schools, economics departments, and law schools keeps us at the forefront of academic research, while industry experts share their practical experience and business acumen. Our culture of growth and collegiality provides a dynamic work environment. Our team-based approach to casework emphasizes a combination of collaboration and individual initiative. This approach offers our employees the opportunity to work with and learn from professionals at all levels of the firm as well as from a network of leading academic and industry experts."
Grace Dyer,guidehouse,Guidehouse,,28974109,16,41,1,4,17,45,https://www.linkedin.com/company/guidehouse/,https://www.guidehouse.com,15156,"Guidehouse is a global AI-led professional services firm delivering advisory, technology, and managed services to the commercial and government sectors. With an integrated business technology approach, Guidehouse drives efficiency and resilience in the healthcare, financial services, energy, infrastructure, and national security markets. Built to help clients across industries outwit complexity, the firm brings together approximately 18,000 professionals to achieve lasting impact and shape a meaningful future."
Grace Dyer,zs-associates,ZS Associates,,5240,15,5,1,3,16,8,https://www.linkedin.com/company/zs-associates/,http://www.zs.com,20848,"ZS is a management consulting and technology firm that partners with companies to improve life and how we live it. We transform ideas into impact by bringing together data, science, technology and human ingenuity to deliver better outcomes for all. Founded in 1983, ZS has more than 13,000 employees in over 35 offices worldwide. To learn more, visit www.zs.com/ At ZS, our mission is to inspire each other to bring our unique perspective and experience to work each day. When you join our firm, you have access to a wealth of community groups to support you, energize you and inspire you to bring your authentic self to work each day."
Grace Dyer,leader-factor,Leader Factor,,18059141,16,16,0,0,16,16,https://www.linkedin.com/company/leaderfactor/,http://leaderfactor.com,24,"A leader is the # 1 factor in determining organizational success. Here at LeaderFactor, we are dedicated to sharing HR and L&D best practices as leaders plan, program, and sequence their development initiatives. Because we believe that real change happens at the behavioral level, this is the place to discover practical frameworks, tools, and insights to build a healthy culture that lasts."
Grace Dyer,alixpartners,AlixPartners,,7787,13,20,0,0,13,20,https://www.linkedin.com/company/alixpartners/,http://www.alixpartners.com,3845,"For more than forty years, AlixPartners has helped businesses around the world respond quickly and decisively to their most critical challenges – circumstances as diverse as urgent performance improvement, accelerated transformation, complex restructuring and risk mitigation. These are the moments when everything is on the line – a sudden shift in the market, an unexpected performance decline, a time-sensitive deal, a fork-in-the-road decision. But it’s not what we do that makes a difference, it’s how we do it. Tackling situations when time is of the essence is part of our DNA – so we adopt an action-oriented approach at all times. We work in small, highly qualified teams with specific industry and functional expertise, and we operate at pace, moving quickly from analysis to implementation. We stand shoulder to shoulder with our clients until the job is done, and only measure our success in terms of the results we deliver. Our approach enables us to help our clients confront and overcome truly future-defining challenges. We partner with you to make the right decisions and take the right actions. And we are right by your side. When it really matters."
Grace Dyer,charles-river-associates,Charles River Associates,,6511,12,69,0,0,12,69,https://www.linkedin.com/company/charles-river-associates/,https://www.crai.com,1611,"Charles River Associates (CRA) is a global consulting firm specializing in litigation, regulatory, financial, and management consulting. We provide economic and financial analysis in litigation and regulatory proceedings and guide businesses through critical strategy and operational issues. Since 1965, clients have engaged CRA for our unique combination of functional expertise and industry knowledge, and for our objective solutions to complex problems. Headquartered in Boston, CRA has offices throughout the world. Learn more about our careers at http://www.crai.com/careers."
Grace Dyer,kpmg,KPMG,,2525300,7,87,3,13,10,100,https://www.linkedin.com/company/kpmg/,http://www.kpmg.com/,239190,"KPMG is a global organization of independent professional services firms providing Audit, Tax and Advisory services. KPMG is the brand under which the member firms of KPMG International Limited (“KPMG International”) operate and provide professional services. “KPMG” is used to refer to individual member firms within the KPMG organization or to one or more member firms collectively. KPMG firms operate in 143 countries and territories with more than 273,000 partners and employees working in member firms around the world. Each KPMG firm is a legally distinct and separate entity and describes itself as such. Each KPMG member firm is responsible for its own obligations and liabilities."
Grace Dyer,pwc-strategy,Strategy&,,224605,2,66,7,27,9,93,https://www.linkedin.com/company/strategyand/,https://www.strategyand.pwc.com/,5735,"From strategy to execution. We help our clients to be visionary in their ambition, and pragmatic in their realization Many strategies fail due to a lack of effective execution. At Strategy&, we work with our clients to solve their toughest problems by coming up with a strategy that is executable – defined by clear choices and a strong vision for the future. We have the required expertise and work hand-in-hand with our colleagues from the PwC network. The result: reliable strategy consulting – from initial analysis to measurable results and sustainable outcomes. Driven by a spirit of innovation and guided by pragmatism, a professional attitude, empathy, and a strong sense of responsibility. This is how we make strategy real at Strategy&."
Grace Dyer,north-highland,North Highland,,166391,6,34,3,3,9,37,https://www.linkedin.com/company/northhighland/,https://www.northhighland.com/,2073,"North Highland helps businesses move from strategy to reality, taking a pragmatic and practical approach to build solutions that work and create impact that lasts. As the world’s leading change and transformation consultancy, our award-winning services – powered by a combination of talent and technology – turn client visions into real, measurable value."
Ambrose Aggabao,fti-consulting,FTI Consulting,,5509,6,36,2,8,8,44,https://www.linkedin.com/company/fti-consulting/,https://www.fticonsulting.com/,10192,"FTI Consulting is the leading global expert firm for organizations facing crisis and transformation, with more than 7,900 employees located in 32 countries and territories. Our professionals work closely with clients to anticipate, illuminate and overcome complex business challenges and make the most of opportunities."
Grace Dyer,korn-ferry,Korn Ferry,,3741,8,41,0,0,8,41,https://www.linkedin.com/company/kornferry/,http://www.kornferry.com,19960,"Korn Ferry is a global consulting firm that powers performance. We unlock the potential in your people and unleash transformation across your business—synchronizing strategy, operations, and talent to accelerate performance, fuel growth, and inspire a legacy of change. That’s why the world’s most forward-thinking companies across every major industry turn to us—for a shared commitment to lasting impact and the bold ambition to Be More Than."
Ambrose Aggabao,oliver-wyman,Oliver Wyman,,2454,6,26,1,1,7,27,https://www.linkedin.com/company/oliver-wyman/,https://www.oliverwyman.com/index.html,9379,"We guide clients through high-stakes decisions and transformative moments so they can adapt, grow, and thrive. Our edge? The power of perspective — driven by deep industry insight, specialized expertise, and a spirit of true collaboration."
Scott,analysis-group,Analysis Group,,9091,7,155,0,13,7,168,https://www.linkedin.com/company/analysis-group/,http://www.analysisgroup.com/,1815,"Analysis Group is one of the largest international economics consulting firms, with more than 1,500 professionals across 15 offices in North America, Europe, and Asia. Since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, Fortune Global 500 companies, and government agencies worldwide. Our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise. "
Grace Dyer,kearney,Kearney,,2196,6,84,0,0,6,84,https://www.linkedin.com/company/kearney/,https://www.kearney.com/,10000,"As one of the original firms, we’ve never lost sight of the fact that consulting is a people business. A global partnership in more than 40 countries, our people make us who we are. We’re individuals with different passions and strengths who take as much joy in the work we do as from those we work with. Our strategic operations heritage means we’ve always known that a plan is only as good as the outcome it inspires. In practice, our teams bring the perspective, understanding, and hands-on know-how to build the future as you see it. Working together we’ll see big ideas through to working realities, helping you move from keeping up to breaking through. By your side, we deliver—value, results, impact."
Ambrose Aggabao,bates-white,Bates White,,21830,5,29,0,2,5,31,https://www.linkedin.com/company/bates-white-economic-consulting/,https://www.bateswhite.com/,439,"Bates White Economic Consulting offers services to law firms, Fortune 500 companies, and government agencies. We specialize in advanced economic, financial, and econometric analysis and excel at complex matters that require sophisticated problem solving and deep empirical analysis. Established in 1999 and privately held, we have a culture where bright minds from diverse cultures solve difficult challenges. We build strong, collaborative relationships with our clients, within our team, and in the community. Our firm is distinguished by the strength of our collective experiences—intellectual and analytical rigor, creativity, responsiveness, and practical know-how. In each matter, we take a hands-on approach to develop a deep understanding of relevant industry, factual, and legal contexts. We are consistently recognized for an ability to support our opinions with sound economic theory and rigorous empirical analyses that withstand intense scrutiny. Our experts are noted for their ability to communicate clearly, succinctly, and persuasively to litigators, judges, juries, and government enforcers. With extensive experience in the application of economics to a wide range of industries and issues, most of our professionals hold PhD or master’s level degrees. We complement our in-house expertise through an extensive network of leading academics and industry experts. Many of our senior staff and academic affiliates have significant government agency experience."
Scott,leavitt-partners,Leavitt Partners,,925726,5,5,0,0,5,5,https://www.linkedin.com/company/leavitt-partners/,https://leavittpartners.com/,65,"Leavitt Partners helps clients successfully improve health by advancing value.  The firm provides services focused on market and industry influences, value-based care, alternative payment models, federal strategies, public health, digital health, and alliances. "
Grace Dyer,lek,L.E.K. Consulting,,5210,2,66,2,7,4,73,https://www.linkedin.com/company/lekconsulting/,https://www.lek.com/,4244,"L.E.K. Consulting is a global management consulting firm that uses deep industry expertise and rigorous analysis to help business leaders achieve practical results with real impact. We are uncompromising in our approach to helping clients consistently make better decisions, deliver improved business performance and create greater shareholder returns. The firm advises and supports global companies that are leaders in their industries — including the largest private and public sector organizations, private equity firms and emerging entrepreneurial businesses. Founded in 1983, L.E.K. employs more than 2,300 professionals across the Americas, Asia-Pacific and Europe. We have deep expertise and a proven track record in a broad range of industries: • Business Services • Consumer Products • Education • Energy & Environment • Financial Services • Healthcare Services • Industrials • Life Sciences & Pharma • Media & Entertainment • MedTech • Private Equity • Retail • Technology • Travel & Transport"
Grace Dyer,clearview-healthcare,ClearView Healthcare Partners,,434006,4,1,0,0,4,1,https://www.linkedin.com/company/clearview-healthcare-partners/,http://www.clearviewhcp.com/,696,"Founded in Boston in 2007, ClearView Healthcare Partners is a diverse, inclusive, and innovative global strategy consulting firm serving the life science sector. The firm combines international industry knowledge and deep scientific expertise across a range of therapeutic areas with an extensive network of external stakeholders to deliver practical and actionable recommendations to our clients’ most complex challenges. The firm’s projects include cross-functional support at the corporate, franchise, and product levels for pharmaceutical, biotech, medical device, and diagnostics companies worldwide. We take pride in deploying high caliber consulting teams from our Boston, New York, San Francisco, London, Zurich, and Gurgaon offices that can provide the best support available on issues that require strategic capabilities and deep content expertise within life sciences. ClearView was ranked #13 overall and #1 boutique in the 2020 Vault Consulting 50. Specific rankings include Top 5 for Innovation, Formal and Informal Training, and Internal Mobility and Promotion Policies. ClearView was also ranked Top 10 for Firm Leadership, Compensation, and Firm Culture."
Grace Dyer,chartis,Chartis,,38109,3,12,1,2,4,14,https://www.linkedin.com/company/the-chartis-group/,http://www.chartis.com,3504,"The challenges facing US healthcare are longstanding and all too familiar. We are Chartis, and we believe in better. We work with over 900 clients annually to develop and activate transformative strategies, operating models, and organizational enterprises that make U.S. healthcare more affordable, accessible, safe, and human. With over 1,000 professionals, we help providers, payers, technology innovators, retail companies, and investors create and embrace solutions that tangibly and materially reshape healthcare for the better. Our family of brands—Chartis, Jarrard, Greeley, and HealthScape Advisors—is 100% focused on healthcare and each has a longstanding commitment to helping transform healthcare in big and small ways. Chartis. Believe in better."
David Fillmore,innosight,Innosight,,32860,2,35,1,1,3,36,https://www.linkedin.com/company/innosight/,https://www.innosight.com/,140,"Innosight helps enterprise leaders turn uncertainty into opportunity and thrive in a changing world. With unmatched expertise in navigating disruption, we partner closely with clients to address their most complex strategic challenges, building resilience in today’s business while shaping the organization of tomorrow. Together with our colleagues across Huron, we align strategy, operating models, and people to drive transformation and deliver sustainable growth. Subscribe to get the powerful strategy insights delivered to your inbox! https://www.innosight.com/newsletter/"
Grace Dyer,stax,Stax (Grant Thornton),,644906,2,2,0,0,2,2,https://www.linkedin.com/company/grant-thornton-stax/,https://www.stax.com/,372,"Grant Thornton Stax is a global strategy consulting firm specializing in commercial due diligence, value creation, and exit planning for private equity firms, PE-backed companies, hedge funds, and investment banks across a broad range of industries including software/technology, industrials, business services, healthcare, consumer, and the events ecosystem. The firm partners with clients to provide data-driven, actionable insights designed to drive growth, enhance profits, increase value, and make better investment decisions. Stax is a wholly-owned subsidiary of Grant Thornton Advisors LLC. Grant Thornton International Limited (GTIL) and the member firms, including Grant Thornton LLP and Grant Thornton Advisors LLC, are not a worldwide partnership. Services are delivered by the member firms. GTIL and its member firms are not agents of, and do not obligate, one another and are not liable for one another’s acts or omissions. Please see www.stax.com for further details. In the U.S., Grant Thornton is the brand for two professional-services entities: Grant Thornton LLP, a licensed, certified public accounting (CPA) firm that provides audit and assurance services ― and Grant Thornton Advisors LLC (not a licensed CPA firm), which exclusively provides non-attest offerings, including tax and advisory services. With more than 60 offices in the U.S., Europe, and other territories, the platform represents a community of more than 14,000 problem solvers, relationship builders, and quality-driven industry specialists who know how we serve matters as much as what we do. Learn how we go beyond the expectations of business at gt.com."
Grace Dyer,brattle-group,The Brattle Group,,15957,2,5,0,0,2,5,https://www.linkedin.com/company/the-brattle-group/,https://www.brattle.com,596,"The Brattle Group answers complex economic, finance, and regulatory questions for corporations, law firms, and governments around the world. We are distinguished by the clarity of our insights and the credibility of our experts, which include leading international academics and industry specialists. Brattle has over 500 talented professionals across three continents. For more information, please visit brattle.com."
Ambrose Aggabao,occ,OC&C Strategy Consultants,,8203,1,3,0,0,1,3,https://www.linkedin.com/company/oc&c-strategy-consultants/,https://www.occstrategy.com/en/,1052,"At OC&C Strategy Consultants we have more than 35 years of experience at unpicking the most complex business challenges with simple, uncommon sense™. We’re an international consulting firm, spanning 10 countries, but we’ve never seen size as an end in itself. Our expertise is focused on a few core specialisms, allowing us to deliver results that get noticed. Our people are agile thinkers, cut from different cloths but united by a relentless curiosity and desire to solve problems. To us, each client challenge is unique, so boilerplate solutions don’t cut it. We interrogate a problem until we find its root. Then we develop a powerful way to solve it. We don’t duck the difficult answers, we give clients the strategies they need. _ OC&C is a Certified B Corporation™ and is committed to embracing a new standard for the consulting landscape. Learn more about us at occstrategy.com"
David Fillmore,advancy,Advancy,,39974,1,1,0,0,1,1,https://www.linkedin.com/company/advancy/,https://www.advancy.com/,283,"Established in 1999, Advancy is a leading international management consultancy firm with offices in Boston, Frankfurt, London, New-York, Paris, São Paulo, Shanghai, Singapore and Sydney, and an additional network of 20 partners around the world. Through our experience on >1,500 projects and dealings with 150 clients we have acquired a wealth of knowledge across a variety of functions and industry sectors, most importantly learning that each business is DIFFERENT. Therefore we work closely with our clients and always provide a tailored approach which has a measurable impact on the bottom line. Our commitment to implementation, senior involvement and challenging the given has provided our clients with exceptional results and is reflected in their continuous loyalty to Advancy. To find out more about us and our experience in your industry please visit: www.advancy.com and see the “Expertise” section."
Ambrose Aggabao,simon-kucher,Simon-Kucher & Partners,,9546,1,4,0,0,1,4,https://www.linkedin.com/company/simon-kucher/,https://www.simon-kucher.com/en,2873,"Simon-Kucher is a global consultancy with more than 2,000 employees in 30+ countries. Our sole focus is on unlocking better growth that drives measurable revenue and profit for our clients. We achieve this by optimizing every lever of their commercial strategy – product, price, innovation, marketing, and sales – based on deep insights into what customers want and value. With nearly 40 years of experience in monetization topics of all kinds, we are regarded as the world’s leading pricing and growth specialist. (Legal notice: https://www.simon-kucher.com/en/legal-notice) -- Terms of use: Simon-Kucher's official LinkedIn page is run by Simon-Kucher & Partners Strategy & Marketing Consultants (SK). This is a public forum and we welcome your comments, thoughts and insights. However, all posts are regularly monitored and SK will remove, hide and/or delete any that are found to be abusive or deemed inappropriate for this page for whatever reason, including content that is deemed none compliant with LinkedIn’s User Agreement (https://www.linkedin.com/legal/user-agreement). This includes the banning and reporting of users who are deemed to be non compliant with the above expectations of Simon-Kucher. All comments, visuals, links to other digital pages and other type of material posted by followers on this site (""User Content"") do not necessarily reflect the opinions or values of SK, its employees, partners or affiliates. SK does not represent or warrant the accuracy of any statement or product claims made here, is not responsible for any User Content on this site and does not endorse any opinions expressed on this page."
Grace Dyer,palm-tree,Palm Tree LLC,,1689444,1,3,0,0,1,3,https://www.linkedin.com/company/palm-tree-llc/,https://www.palmtreellc.com/,80,"As a single-source partner, Palm Tree integrates financial, operational, analytical, and capital solutions to advise and execute value-creation initiatives that drive transactions, transitions, and transformations. We guide private equity firms through high-stakes processes, engaging with them to highlight opportunities, mitigate risks, and reduce deal friction. Our integrated services work alongside management teams to help them prepare for, navigate, and succeed in strategic events so they can focus on company performance and preserving operational capacity. We were born out of private equity. It gives us the resilience, flexibility, and perspective of owners and operators. Our team comes from private equity, Big-4 accounting, investment banking, and business operations experience."
Grace dyer,roland-berger,Roland Berger,,3950,0,0,0,0,0,0,https://www.linkedin.com/company/rolandberger/,https://www.rolandberger.com/en/?country=US,4696,"Roland Berger is a global leader in strategy consulting, renowned for its focus on transformation, innovation, and sustainability. Founded in 1967 and headquartered in Munich, we shape the future of businesses and industries globally. Whether it’s digitalization, globalization, or sustainability, we see challenges as opportunities to drive impact. With innovative solutions, deep industry expertise, and agile international teams, we deliver measurable results and lasting change. Our goal is clear: accelerate transformation, build resilient business models, and contribute to a CO2-neutral future – bold, collaborative, and impactful."
David Fillmore,clarkston,Clarkston Consulting,,8756,0,0,0,0,0,0,https://www.linkedin.com/company/clarkston-consulting/,https://clarkstonconsulting.com/,443,"Clarkston Consulting offers the full spectrum of strategy, operations, implementation, and managed services with a change-focused, data-driven approach for life sciences, consumer products, and retail companies. Leveraging decades of client commitment and industry experience, we deliver solutions that work for your business and people to drive growth, innovation, and transformation."
